ref_code,token,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
1007,USDS-SPK,,,,,,,,,,,9730.507068834768,15421.475084265061,9186.824087058623,8494.290257053635,2745.3977955847,2841.0698412168513,4375.433402403486,3023.763038076548,4628.610029240478,5225.033275171422,1445.0422017194321,67117.446080625
1015,sUSDS,,,,,12.884360501975056,218.05399156575862,184.59755617598375,7.563965869738378,0.00009035163613376628,123.649737168996,0.00009101874680782693,0.00009136720896462189,0.00008876331669781747,0.00009207824142483251,0.00008944111507294168,0.00009275113043828301,0.00007759091880595674,0.00007030461474736664,0.00007808006540593472,0.00007579440899054349,0.00007855735122780435,546.7506273812065
1016,USDS-SKY,,,,,,,,,0.0034430531426077565,0.00006020561513788106,76.64164323675116,143.36146408206565,,,,179.02163663419003,1201.0547443054502,167.53838068751205,8.978125634163069,0.14773560337865937,,1776.7472334422685
1016,USDS-SPK,,,,,,,,,,,,,,,,,,0.000024139638099304566,,0.44222242783652244,,0.44224656747462177
1017,spETH,,,,,,,,,,,,,,,,,0,0,0,0,0,0
1017,spUSDC,,,,,,,,,,,,,,,,,0.023807040909144952,0.0795510411188638,0.07221716004521904,0.04641970165585093,0.04836555786642219,0.2703605015955009
1017,spUSDT,,,,,,,,,,,,,,,,,0.04265870609635551,,,,,0.04265870609635551
1017,sUSDC,,,,,,,1.947646293662869,33.56031002531264,71.47532133934625,79.34835319772432,107.9063826474314,24.590275158166463,23.889967639652976,40.8888092228516,183.07986854212444,497.76328526472366,534.9088115180323,350.08646683524256,369.4774123713277,214.5017816300188,8.64175855028012,2542.0664502358977
1017,sUSDS,,,,,,,,0.010465716280157878,1.3820425682135233,2.2535930167651137,2.328877669520749,2.4270441844543367,3.3365553858723733,3.483967784193325,3.369425935643022,3.501956390761284,1.1035910374114648,0.013374590672049118,0.013676440935598734,0.013276087211486777,0.013760041933091015,23.25160684986757
2000,sUSDS,,,,,,,,,,,,,,,,,,,,0.0000022340667242077928,0.0000042495833570485795,0.000006483650081256372
2001,sUSDS,,,,,,,,,,,,,,,,,,0.00010802955292476468,0.0016246835496007126,82.24301693728248,8467.99352994732,8550.238279597705
2002,stUSDS,,,,,,,,,,,,,,,,,,,,,1.3613582247595745e-8,1.3613582247595745e-8
2002,sUSDS,,,,,,,,,,,,,,,,,,,174574.2755934838,116737.37465030173,3.461410622185823e-9,291311.65024378896
2003,sUSDS,,,,,,,,,,,,,,,,,,,,6.654607696408873e-15,1.3723607554654147e-8,1.3723614209261844e-8
2005,sUSDS,,,,,,,,,,,,,,,,,,,17144.96836066166,8259.87631199609,,25404.84467265775
2008,sUSDS,,,,,,,,,,,,,,,,,,,,,12035.781376578725,12035.781376578725
2222,sUSDS,,,,,,,,,,,,,,,,,,,,10.677765476597337,14.746531904549197,25.424297381146534
3000,sUSDS,,,,,,,,,,,,,,,,,,,,0.00014260407450345818,0.0020260596499545296,0.0021686637244579875
3001,sUSDS,,,,,,,,,,,,,,,,,,,,,2.6596740899378465e-8,2.6596740899378465e-8
3333,sUSDS,,,,,,,0.10689030195678363,0.6063695725124567,0.5701363158042048,0.5146480797679932,0.5653649589821247,0.7248876671124271,0.6695846107722064,1.0570629743021607,0.9824428509137807,0.9023304203030074,0.7135887053082367,0.41023307431709266,0.48429439761017856,0.4880023491775912,0.4849075110963712,9.280743789936619
4001,USDS,,,,,,,,,,,,,,,12200.287654194992,34070.235427067135,28435.58551280574,25260.478584246357,29059.501666005646,23206.767740808675,22600.09633102555,174832.9529161541
4011,sUSDS,,,,,,,,,,,,,,,,,,,,,0.0073119488860599975,0.0073119488860599975
4012,spUSDC,,,,,,,,,,,,,,,,,,,,,0.00010305554076857984,0.00010305554076857984
9001,USDS,,17845.470418758843,32496.702241141193,9685.45271933533,69461.46968551146,156919.9006692738,161850.5204630886,144005.82231683523,112534.09673117401,31437.636008360754,12274.173066464622,7791.5309126247885,10235.68026700184,15695.485805060795,16541.72309462026,24660.408532270038,17637.13469130975,14381.456448326928,19582.080606333413,15706.362684071682,9626.615072541761,900369.7224341051
9998,sUSDS,,,,,,,,,0.00037847177556604174,0.0024646516588322336,0.006476266916977258,0.002487239527415239,3.791455669117523,0.0010495162083291386,0.0017952852738089635,0.0020114294506267012,0.0008878885804628702,0.0018056617723566936,0.0009192013180997647,0.0006914550557541397,0.00025582177561604756,3.8126785584313683
10000,sUSDS,,,0.0002168264360681706,0.042212843887165966,1.2189676580740632,60.32258043815074,843.763104212298,225.40529393071415,108.12750147863011,98.38544559695717,111.80741025286409,139.44878018125434,100.56134178443564,53.731349681278246,38.356329718154484,38.81258870364706,373.74112730504976,547.4554028501722,1161.6808054506241,1570.2605074363612,1039.2658944272446,6512.386860776234
10001,sUSDS,,,,,,,2043.1521169055475,6732.260649331777,11662.588928330157,43973.92180907409,37718.85556218474,48771.91651311514,66723.57492201802,70944.55290124427,70839.36931430074,92454.62515868973,77410.0828253856,64106.05246778219,68681.04844897927,62968.00545872383,59304.6136976295,784334.6207736946
13425,sUSDS,,0.1431066418942096,0.17612244276748407,0.1833913609481263,0.185223327709338,0.16879448422892152,0.18795133393983976,0.1826399898277502,0.10053245235369478,0.00018890724425342064,0.00019592345035852616,0.00019667353658222247,0.00019106849833277985,0.00019820407768289817,0.00019252750102133714,0.00019965251266851618,0.0001670192247433148,0.0001513350071333493,0.0001680721428833675,0.00016315212687630196,0.0001690995299690779,1.3299436685218695
13425,USDS-SKY,,0.03271355387985628,,,,,,,,,,,,,370.40271459148244,1029.0974125257135,858.006949414216,774.9740188257434,858.0099988032631,641.1623492109939,9.669231707178573,4541.355388632471
