ref_code,token,blockchain,source,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
128,USDS-SKY,ethereum,farms,,,369.46396759542154,40671.55539960491,36788.27818245504,51210.9171091269,66570.78717984898,109613.55538433875,61050.37391833408,66019.36284585253,56042.52493422946,44829.794374316545,43343.62328143249,24647.023245331457,25541.549726128836,38222.924405792386,24672.195922511175,3387.1205025728855,2561.8841931601246,1853.8637651654742,221.3950610083518,697618.1933988057
128,USDS-SPK,ethereum,farms,,,,,,,,,,399.9568656996654,271238.73652511666,609129.4596097498,548848.4853684689,421245.2309106294,330450.44027419447,286198.6848417126,235384.72552140642,206409.470236647,236624.40877949487,299366.49013705325,400011.94627833035,3845308.0353485034
129,sUSDC,base,susds_susdc,,,,,,,,,,,,,,,,0.6415203110271501,2.5779557833585005,0.593354734238549,0.39290645719354683,0.213290069311691,0.5917428320463922,5.0107701871758294
129,sUSDS,base,psm3_base,,,,,,,,,,,,,,,,0.0004444596227241896,0.00043927062451319096,0.28506394519559425,0.5123431150708777,0.681083840746735,0.8945496485806246,2.373924279841069
129,sUSDS,optimism,psm3_optimism,,,,,,,,,,,,,,,,,,,,0.00014754474634901812,0.0009013563703056048,0.001048901116654623
130,spUSDT,ethereum,sp,,,,,,,,,,,,,,0.0009179100626074357,12.839958648873228,319.2808534108773,284.5650466852062,263.830960323499,6315.989212986159,4736.493484507669,4041.56891910306,15974.569353575405
131,spUSDC,avalanche_c,sp,,,,,,,,,,,,,,0,0,1207.0446038310413,932.8561348561764,791.6454659002069,777.7577267362938,21.662134624112742,1.7648901040275335,3732.730956051859
131,spUSDC,ethereum,sp,,,,,,,,,,,,,,0.00021202415400666352,0.3292901557550843,337.8406428273792,1601.0254115365997,9.527775312520259,3536.735780258598,4652.668383039988,3909.9096965106332,14048.037191665626
132,spPYUSD,ethereum,sp,,,,,,,,,,,,,,,,0.0002692086274316935,0.001789627473493284,0.00015628070971130512,0.011998198875825343,0.008102471802866553,0.00044862620908329423,0.02276441369841147
170,sUSDS,base,psm3_base,,,,,,,,,8.277904076178812e-7,0.000010444326487678806,0.00001604584945623312,0.000016107280441664418,0.000015648235815133716,0.000016232629520848732,0.00001576772603868507,0.000016351254330525207,0.00001367863487269397,0.000012394119953646112,0.000013764867344284045,0.00001336192509272738,0.000013849008872408529,0.000174473648634147
171,sUSDS,arbitrum,psm3_arbitrum,,,,,,,,,0.0001475168057356429,0.0002636596131301009,0.0003085583791575021,0.0003281189286964175,0.00031876780206468525,0.00033067239631099846,0.00032120191906606383,0.00033308888275853044,0.0002786453635137218,0.00025247870800401175,0.00028040199217929055,0.000272193717647487,0.0002821160262876816,0.003717420534552134
171,sUSDS,base,psm3_base,,,,,,0.000010127386167871385,0.00011751553648708238,0.00015647984757435326,0.0001624436964134892,0.00015804335620770238,0.00016391324577290747,0.00016454078308819408,0.0001598514935026352,0.0007463886799321575,0.0021029621554705235,0.002197874179585722,0.001838630711699121,0.0016659710424289326,0.0018502217561605792,0.0017960597724907357,0.001861531744263617,0.015152555387245624
182,sUSDC,arbitrum,susds_susdc,,,,,,,,,0.02853688610463962,0.046030676852693776,0.007164039821157589,0.002458699643627618,0.000009091185958202761,0.000009430702306305596,0.000009160606427149403,0.000009499619955826687,0.000007946903042550558,0.000007200635917695828,0.000007997001696664188,0.000007762903554752462,0.000008045885563595416,0.08426643786654134
182,sUSDC,base,susds_susdc,,,,,,,,,16.892406488585976,45.65641829087824,2.088858022493373,0.14303332378054717,0.04011806483076198,0.04026430808431458,0.029139579029338468,0.028904866460830674,0.02418035377101603,0.02190965750228757,0.024332790912054873,0.023620491308265282,0.02448153177245839,65.03766776940947
183,sUSDS,ethereum,susds_susdc,,,,,,,,,0.005578306001781179,0.44474255753644854,7044.161386257441,18451.035859844284,17635.19100308841,17336.562730645423,20843.092529849906,24105.194369925597,21333.384118292204,13278.929767896732,11113.764428103526,9912.967924836805,11847.596192241095,172902.33063184496
186,spETH,ethereum,sp,,,,,,,,,,,,,,,0,,0,0,0,0,0,0
186,spUSDC,ethereum,sp,,,,,,,,,,,,,,,0.4395303322862366,51.43989551740268,16.662048248800232,37.41974152657075,70.26378952665563,325.9814220217969,700.1053095796042,1202.3117367531167
186,spUSDT,ethereum,sp,,,,,,,,,,,,,,,11.634438972936989,315.92922063954785,120.67323043612677,191.96672044661977,197.63486241321885,517.1053600318809,347.9048772550314,1702.8487101953624
186,sUSDC,ethereum,susds_susdc,,,,,,,,,,,,0.0007260285232978351,29.86390928021335,24.846869520973403,401.0667628031244,651.2609611084864,840.8570368959579,1037.5779899606605,2311.077890095982,1372.0100777453858,491.56530682153044,7160.127530260837
186,sUSDS,ethereum,susds_susdc,,,,,,,,,,,0.000032683615018306355,0.017799976663263835,0.04259877699520689,0.0194166628966083,37.37366675133504,0.39100600724799917,0.04171387291158138,0.015538117677900917,0.00013062228716463693,0.0001267985497343627,0.00013142075173251016,37.90216169093125
188,spUSDT,ethereum,sp,,,,,,,,,,,,,,,,,,,5889.436200565304,12300.613915914826,7694.248891429038,25884.29900790917
188,sUSDC,ethereum,susds_susdc,,,,,,,,,,,,6283.604227775308,16471.784387961674,16943.107410495737,7109.783089417372,3055.548067150756,1186.515644986591,270.21371570191064,3530.2957858016803,6054.844329575339,944.0868165652957,61849.783475431665
188,sUSDS,ethereum,susds_susdc,,,,,,,,,,,,,,,,,,,0.00017833369195189045,0.00023153479027057536,3610.205695028978,3610.20610489746
190,spETH,ethereum,sp,,,,,,,,,,,,,,,,0,0,0,,0,,0
190,spUSDC,avalanche_c,sp,,,,,,,,,,,,,,,,21168.148342802866,9892.842223719652,4849.476397729083,3423.0163305357373,2040.448998331514,1553.3654448229352,42927.297737941786
190,spUSDC,ethereum,sp,,,,,,,,,,,,,,,,57.72048935295599,389.71247220660814,386.89840760238087,620.2687614223433,720.3842181851251,1096.3815627058402,3271.3659114752536
190,spUSDT,ethereum,sp,,,,,,,,,,,,,,,,160.95620016821604,119.04837295120076,62.35919818066034,152.37783182950017,135.17377143079605,85.21628261117516,715.1316571715486
190,sUSDC,arbitrum,susds_susdc,,,,,,,,,,,,,0.0034834234292547986,0.004086805925602461,0.003969759559004899,0.00411667147000132,0.0034437997711759647,0.003120404035749196,0.003465510081802502,0.003364063376937511,0.003486693962976157,0.03253713161250481
190,sUSDC,base,susds_susdc,,,,,,,,,,,,,,0.00014085553974587194,0.000055421587937126586,2.3948053124683737e-20,,,,,,0.00019627712768299855
