ref_code,token,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
129,sUSDC,,,,,,,,,,,,,,,,0.64152031102715,1.0327215150770224,0.23769616378860323,0.15739717274275636,0.0854433753101428,0.23705044050475724,0.02775990154947345,2.4195888799999055
129,sUSDS,,,,,,,,,,,,,,,,0.00044445962272418956,0.00043927062451319096,0.28506394519559425,0.5123431150708775,0.6812313854930837,0.8954510049509298,0.246222766904094,2.6211959478618168
170,sUSDS,,,,,,,,,8.277904076178812e-7,0.000010444326487673077,0.000016045849456233123,0.00001610728044166441,0.000015648235881947994,0.000016232629593351083,0.00001576772610911094,0.000016351254308121924,0.000013678634852662328,0.000012394119935495575,0.000013764867343096588,0.000013361925092727377,0.00001384900887240853,0.000004028515496565271,0.00017850216427867606
171,sUSDS,,,,,,0.000010127386167871387,0.00011751553643597268,0.00015647984748736458,0.00030996050206173156,0.0004217029625140787,0.0004724716207483118,0.0004926597055113017,0.0004786192956012586,0.0010770610762785506,0.0024241640745702414,0.002530963059122592,0.0021172760729985915,0.0019184497479389046,0.002130623751411145,0.002068253493160239,0.0021436477733993513,0.0005688446066251954,0.0194388205120327
182,sUSDC,,,,,,,,,16.92094337469062,45.702448967730945,2.0960220623145327,0.14549202342417844,0.0401271560167238,0.04027373878662463,0.029148739635769257,0.02891436608079028,0.009689762206360465,0.008779828997971173,0.00975084814670987,0.00946540923850502,0.00981045288125297,0.0009509650548338226,65.05181769520584
183,sUSDS,,,,,,,,,0.005578306001781178,0.4447425575364484,7044.161386257441,18451.03585984429,17635.19100308841,17336.562730645426,20843.09252984991,24105.194369925593,21333.384118292208,13278.929767896738,11113.764428103525,9912.967924836805,11847.596192241095,1055.3778183586044,173957.70845020356
186,spETH,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0
186,spUSDC,,,,,,,,,,,,,,,0.4395303322862366,51.439895517402675,16.662048248800236,37.41974152657075,70.2637895266556,325.98142202179685,700.1053095810798,176.48684494762605,1378.7985817022181
186,spUSDT,,,,,,,,,,,,,,,10.46533002498237,291.5186303769316,113.66575047578847,185.49970758113946,192.7226292922633,510.96714620661743,344.13424684409705,97.64685856877153,1746.620299370591
186,sUSDC,,,,,,,,,,,,0.0007260285232978352,29.86390928021335,24.84686952097341,401.06676280312445,651.2609611084865,336.8448592919914,415.6506952988858,925.8110148854433,549.623207402048,196.9196181319595,18.965078179800845,3550.85370193145
186,sUSDS,,,,,,,,,,,0.00003268361501830635,0.01779997666326383,0.0425987769952069,0.019416662896608303,37.37366675133504,0.39100600724799917,0.04171387291158138,0.015538117677900918,0.00013062228716463693,0.0001267985497343627,0.00013142075173251018,0.000012739120598237557,37.90217443005185
188,spUSDT,,,,,,,,,,,,,,,,,,,5787.144500751914,12156.615738288428,7619.683253777593,3300.193602467558,28863.637095285492
188,sUSDC,,,,,,,,,,,,6283.60150653309,16471.810688333575,16943.168601277455,7109.8463598283715,3055.6099164521847,475.33426852857843,108.26560136444147,1414.2469804903621,2425.5731016842064,378.2193908887259,27.461889972948,54693.13830535393
188,sUSDS,,,,,,,,,,,,,,,,,,,0.00017833369195189045,0.00023153479027057533,3610.205695028977,2963.5790036597828,6573.785108557242
190,spETH,,,,,,,,,,,,,,,,0,0,0,,0,,,0
190,spUSDC,,,,,,,,,,,,,,,,21225.868832155826,10282.554695926263,5236.374805331464,4043.28509195808,2760.833216516639,2649.747007530351,855.689841416212,47054.35349083483
190,spUSDT,,,,,,,,,,,,,,,,149.8190123005992,110.94052744341046,59.78011590759034,148.67384693312655,133.5931070766378,84.34161774919306,14.818882222037544,701.967109632595
190,sUSDC,,,,,,,,,,,,0.00015672603080986376,0.00855641373014984,0.00985041884599457,0.008712406257693563,67.46630955787644,34.05875076866066,17.972901859803734,17.138442716558576,10.021649649726255,0.003818223514465018,0.00037011513920418243,146.68951885614396
190,sUSDS,,,,,,,,,,,,,,,,,0.15824796865803675,,,7.619523117508172,6.798079782737514,0.6589641061025123,15.234814975006236
191,spUSDC,,,,,,,,,,,,,,,,2910.8058187278343,2164.429525847791,26.12653253471614,29.00079538485492,28.198307669192516,29.591187686639348,8.497888717870898,5196.650056568899
191,spUSDT,,,,,,,,,,,,,,,,1976.7199766156482,1161.820782806341,5326.829569774434,7997.504917119462,11175.511897730517,21867.349046230833,6784.3338034814005,56290.06999375864
191,sUSDC,,,,,,,,,,,,,,,,,,,192.22764749935686,919.6679340554583,1344.9681085638924,130.37294879162098,2587.2366389103286
192,sUSDC,,,,,,,,,,,,,,,0.0002433962944695407,51102.27687530671,22700.53640672126,16725.406445078428,19342.472430112284,15097.769830350779,10576.24437845391,801.7754549417448,136346.48206436142
194,sUSDC,,,,,,,,,,,,,,19.890875624916077,37.7707108635902,19.313430515827818,1.9867036122894313,1.7044228240843355,1.8824134882237435,1.7216104684180165,1.7545037771558245,0.16916212481155904,86.19383329931699
195,sUSDC,,,,,,,,,,,,,956.1961056846186,3175.4591949520964,8105.614837528926,7915.4285219604235,1554.2939487139533,669.4855922844716,3049.9605732932373,1990.2958704019265,1235.0064149105826,64.36553567185098,28716.106595402085
196,sUSDC,,,,,,,,,,,,,0.005651730761684867,0.020602276129016522,0.015940483954577797,0.0226421504724066,0.01273585583122294,0.08948955559317384,0.10179210747625284,0.09858783381995764,0.10198584034146106,0.00985576732329203,0.4792836017030461
197,stUSDS,,,,,,,,,,,,,,16159.545842414653,17563.94093572422,17503.7386622655,6824.98765559193,6314.149706951172,5576.068892074834,8508.930721916859,10729.876247816592,970.198746939425,90151.43741169518
198,spUSDC,,,,,,,,,,,,,,0.002680747991990604,1.1664625125273966,0.42600580421729495,0.01632283303932794,0.01484572673035861,0.016888672313058576,0.016445239842848115,0.01713471861972756,0.004908208827908839,1.6816944641099116
198,spUSDT,,,,,,,,,,,,,,0.04869175889298629,0.46467890973432086,0.015547176075333855,0.0022225236601978488,0.002015602877229976,0.002156674097227375,0.002119893680867315,0.0021965366717336004,0.0005989216250128441,0.54022799731491
200,spUSDC,,,,,,,,,,,,,,,,,2.6460090789674466e-8,0.5933760123583133,5.259007041776049,32.090505114427074,91.57472388984822,78.14887579508154,207.66648787995126
200,spUSDT,,,,,,,,,,,,,,,,,1.961022017925205,,0.4735908533552689,0.49758837100619685,0.017046874056043933,0.0026588963673157395,2.9519070127100306
200,sUSDC,,,,,,,,,,,,,,,,,0.000011498839636852734,0.05326510176497127,0.05572478439709059,0.00003494988015497219,0.00003724302035232102,0.000003926637701059816,0.10907750453990708
200,sUSDS,,,,,,,,,,,,,,,,,,,,0.001338833170617315,0.0037413186835405245,0.000576944100439981,0.00565709595459782
202,spETH,,,,,,,,,,,,,,,,,,,0,0,0,0,0
202,spUSDC,,,,,,,,,,,,,,,,0.8863052750922081,0.49020432247626655,4.066820469876955,1.2271660546589254,0.1737910058927882,1.7296583136844226,1.4805605312261012,10.054505972907668
202,spUSDT,,,,,,,,,,,,,,,,46.41041250027372,28.046779082872497,28.819383695653954,41.333963592839645,39.571992943102416,31.53579425309612,7.81614534454571,223.53447141238405
204,spETH,,,,,,,,,,,,,,,,,,,,0,0,0,0
204,spUSDC,,,,,,,,,,,,,,,,,,,3.080614387616751,4.560663661147945,,,7.641278048764696
204,sUSDC,,,,,,,,,,,,,,,,,,1.6069861033232327,13.826821193046163,29.47523831016505,30.43142710984917,2.946671671737366,78.28714438812098
204,sUSDS,,,,,,,,,,,,,,,,,,0.0004024997738159918,0.00011968856349788125,0.01493386871170245,0.018989912773162705,0.004782090505102438,0.03922806032728146
205,spETH,,,,,,,,,,,,,,,,,0,0,0,0,0,,0
205,spUSDC,,,,,,,,,,,,,,,,,0.0005315126059556268,0.008897154493447999,0.19759145598919042,0.20575776647335367,0.21277114263124927,0.06094775911340716,0.6864967913066042
205,sUSDC,,,,,,,,,,,,,,,,,0.00023832516538876592,0.009735724314782283,,,,,0.00997404948017105
205,sUSDS,,,,,,,,,,,,,,,,,,0.00000992926170209157,0.0000305251760292138,,,,0.00004045443773130537
206,sUSDC,,,,,,,,,,,,,,,,,,,,,0.00021236245405216697,0.00003291225946000021,0.0002452747135121672
214,spETH,,,,,,,,,,,,,,,,,,,,,0,0,0
214,spUSDC,,,,,,,,,,,,,,,,,,,,,0.000006709176351375615,0.0002826899565521862,0.00028939913290356177
214,spUSDT,,,,,,,,,,,,,,,,,,,,,0.00000617275712934865,0.000005937782272218646,0.000012110539401567296
216,sUSDC,,,,,,,,,,,,,,,,,,,86.77235852540308,151.20514360841003,189.03777880567444,15.052893827991891,442.06817476747943
219,sUSDS,,,,,,,,,,,,,,,,,,,,14.263484409268683,,,14.263484409268683
223,spUSDC,,,,,,,,,,,,,,,,,,,,,0.0011179653773257074,0.0005806464800941197,0.001698611857419827
223,spUSDT,,,,,,,,,,,,,,,,,,,,,0.00013720443140648333,0.0000489549523786406,0.00018615938378512394
224,sUSDS,,,,,,,,,,,,,,,,,,,,,4185.174239133086,1459.363229066497,5644.537468199584
224,USDS-SPK,,,,,,,,,,,,,,,,,,,,,396.9972962550637,13.7241624181122,410.7214586731759
303,sUSDS,,0.0010247124488725707,0.0019775724860150584,0.0020591907759459453,0.0020797608237225896,0.0018952912675808346,0.002110391957258707,0.002050754083659071,0.002126922015141678,0.0020658966384577275,0.002142626128978585,0.002150829099776299,0.002089532193330422,0.002167567154091811,0.0021054879009143393,0.0021834072928839402,0.0018265284442567462,0.0016550052580214974,0.0018380431961377704,0.00178423771837367,0.0018492787394603786,0.00017925772430287201,0.039362293347182505
303,USDS-SKY,,,1.6662014137186443,41.46918041082517,,,,,,,,,,,,,,,,,,,43.13538182454381
555,sUSDC,,,,,,,,,,,,,,,,,0.0016204712276044748,0.0015399913652621262,0.0017103091590263695,0.001660242870258457,0.001720763893001977,0.00016680028431630275,0.008418578799469707
1001,sUSDS,89.14237483935457,2900.577398392498,7092.596771291363,9406.192104460113,11674.429566501198,10499.250189251828,8184.011358195992,3487.4605007508417,3756.2283852671603,2088.2214553053027,1914.7461575548386,1739.457721345113,1524.5389970571912,1431.5429953242856,1298.4563456772132,1177.0697306185568,880.7104261224565,751.282765500679,799.4060955999963,767.1871435232853,791.6348667873193,72.3513146013019,72326.49466396791
1001,USDS-CLE,6.653958418347043,163.56719880239174,214.35688843687927,278.31242593357234,309.46883586085136,181.8525175342593,353.8213431549371,357.746424150699,356.0086615278406,322.6519235871934,333.03174127949165,369.00464447024416,394.573531868778,460.54510384416005,237.06429642658537,110.78913022515485,83.08763931095572,40.056110683604395,44.25181399339283,42.28051345880464,43.59855580557125,4.185096311427094,4706.90835508514
1001,USDS-SKY,506.1993371617093,20601.776242138178,14895.287631998946,6050.85142643813,2919.5999193482617,1620.3035533392324,1393.1594143820616,2021.8576876013112,2346.0094111927565,1917.9245730523478,1811.172946575179,2788.381408995484,2475.0323599820067,1353.198390107566,3485.196918295788,3955.47083572263,1291.0061823694975,810.0991426370301,811.8272807307619,624.4763085352921,77.33646471796169,7.484174004964036,73763.65160932709
1002,sUSDS,,807.5958288356111,1255.4545788614719,1165.8233504266814,2491.3924521446315,3797.1765269403736,5030.037095215241,5714.555686579499,2990.1935044970496,2725.289330270801,2873.7567667098388,4481.316143783303,4504.391127187304,4570.010424431708,3047.437156898328,2396.5082700948187,1967.5988770266647,2968.7846636502168,29193.37060619229,28953.370505847743,33173.243437901154,4518.563726574046,148625.87006006876
1002,USDS-CLE,,0.1400792750918087,4.4270022060427765,3.4252046956058444,0.6878976672831422,0.1693945437369074,,,,,,0.20138324908396865,0.7376665365948628,0.7751464435710199,0.9831521170084103,0.7622554211480249,0.6355282217341331,0.5740254905985719,0.8823900578933894,0.6150273113556127,0.6355282217341331,1.7817383204429291,17.433419778925536
1002,USDS-SKY,,0.013796313200324036,14.23506439370786,457.15022262647204,5.263312136682425,312.24113229912103,309.61740811665913,7.28296399681033,3.562615943160674,2.319193138737993,9.861717683093907,35.42237260029618,1.4756537060531647,1.5286037156247416,1.4789769091618155,1.5282761394672093,1.274195748941338,1.150886482914757,1.274860056953132,1.233092660265811,1.274195748941338,0.1233092660265811,1169.311849682292
1004,sUSDC,,,,,,,,13.932318091609295,46.22349373363035,3.0094941736435215,1.150003652303215,0.23041295295495368,0.221082328849517,0.02596325090444565,0.015420401989291746,0.015991076291391244,0.005358918340260386,0.0048556802158357705,0.0053927018902690345,0.005234840039005151,0.005425666260117004,0.0005259307674186813,64.85097339968887
1004,sUSDS,,,,3.8208754514062117e-16,,,6.640534787001798e-18,5.3869872110882247e-20,1.9751273442335883e-17,2.865346062187817e-14,6.299095760928789e-14,3.1207828703641473e-14,9.543745895119712e-14,1.0367151434124749e-13,5.830020073165426e-13,5.462098254483094e-13,8.945833869356574e-14,2.4077513820435082e-14,2.7929601007432184e-13,2.6296193776988073e-13,1.893713865575733e-13,6.5929604502338496e-15,2.3033397335813567e-12
1007,sUSDS,,,,,,,,,,438.91654901332527,641.5532221354056,188.1571656798065,750.883503420492,2441.8810718844843,862.2541941247567,1879.538861816323,1592.6490640759555,8119.972825344364,11131.847598719754,8884.395859643158,9316.851042811797,,46248.90095866963
1007,USDS-SKY,,899.04910480087,2845.034683217761,2651.2709262171447,3270.1993101177177,2063.6739510533725,3835.8301775281043,7167.6872837096225,7788.974460549155,17009.947677240034,11459.498213082446,5825.295281274688,3092.011012027047,1258.2885492999574,1106.3916103555503,3550.059439215305,4114.426764723389,2601.3270434133606,98.97080055441654,2.736057282538436,0.4952005891537389,0.04490237432755676,80641.21244862599
1007,USDS-SPK,,,,,,,,,,,9730.507068834768,15421.475084265061,9186.824087058623,8494.290257053635,2745.3977955847,2841.0698412168513,4375.433402403486,3023.763038076548,4628.610029240478,5225.033275171422,1445.0422017194321,,67117.446080625
1015,sUSDS,,,,,12.884360501975056,218.0539915657586,184.59755617598373,7.563965869738378,0.00009035163613376627,123.649737168996,0.00009101874680782691,0.00009136720896462189,0.00008876331669781747,0.0000920782414248325,0.00008944111507294167,0.00009275113043828298,0.00007759091880595677,0.00007030461474736663,0.00007808006540593472,0.00007579440899054346,0.00007855735122780437,0.00002024323158987381,546.7506476244381
1016,USDS-SKY,,,,,,,,,0.0034430531426077565,0.00006020561513788106,76.64164323675116,143.36146408206565,,,,179.02163663419003,1201.0547443054502,167.53838068751205,8.978125634163069,0.14773560337865937,,,1776.7472334422685
