"Referral Code","Partner Name","Wallet Address","Prime Agent","Token","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026","Apr 2026","Total"
"2005","-","-","Grove","Grand Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17,129.9","8,255.3","25,385.2"
"2222","-","-","Grove","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.7","10.7"
"2222","-","-","Grove","Grand Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.7","10.7"
"untagged","-","-","-","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","1,134,427.8","1,260,381.9","642,081.7","838,391.2","1,140,845.1","1,327,582.1","1,537,925.1","1,488,992.7","1,730,555.4","1,622,835.2","12,724,018.3"
"untagged","-","-","-","sUSDC Farm","0","0","0","0","0","0","0","0","0","0","21,796.7","20,446.8","0","0","0","0","0","0","0","0","42,243.5"
"untagged","-","-","-","stUSDS Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","12,138.3","25,513.5","8,995.8","8,760.8","13,143.7","7,862.5","3,032.4","79,447"
"untagged","-","-","-","spUSDC Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","1,088.9","0","0","0","10,789.5","11,878.6"
"untagged","-","-","-","spUSDT Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.6","213.1","0","0","0","10,644.6","10,866.3"
"untagged","-","-","-","SKY Farm","0","0","0","0","0","0","0","0","0","0","14,825.2","13,868.6","11,976.5","11,049.7","9,515.9","9,891.9","8,027.6","5,380.8","5,283.2","4,419.5","94,239"
"untagged","-","-","-","SPK Farm","0","0","0","0","0","0","0","0","0","0","25,651.7","25,559.7","0","0","0","0","0","0","0","0","51,211.5"
"untagged","-","-","-","Chronicle (CLE)","0","0","0","0","0","0","0","0","0","0","2,290.9","2,004.3","662.7","1,226.1","1,382.5","2,031.1","3,577.7","2,172.7","1,675.4","1,298.7","18,322"
"untagged","-","-","-","Legacy SKY+CLE","55,871.7","302,585.1","235,954.4","245,636.2","427,779.9","806,094.9","1,063,033.3","861,961.6","810,928.2","803,898.4","0","0","0","0","0","0","0","0","0","0","5,613,743.7"
"untagged","-","-","-","Grand Total","55,871.7","302,585.1","235,954.4","245,636.2","427,779.9","806,094.9","1,063,033.3","861,961.6","810,928.2","803,898.4","1,198,992.3","1,322,261.3","654,720.9","862,805.4","1,177,265.8","1,349,802.9","1,558,291.2","1,509,689.9","1,745,376.5","1,653,508","18,646,458.2"
