ref_code,token,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,total
191,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.8528629040974,2295.743077639676,3357.408810880088,3258.766325420516,1874.7996862730877,1356.959751610868,12623.530514728334
200,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013388331706172807,0.0037413186835405,1650.0972680738028,4384.721396957282,5670.998677133328,11705.822422316267
186,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007260285232978,29.863909280213356,24.846869520973403,401.0667628031245,651.2609611084864,840.8570368959579,1037.5779899606605,2311.077890095982,1372.0100777453858,491.5653068215305,449.8170001226513,255.355913697204,183.1978489380528,8048.498293018746
10000,sUSDS,0.0,0.0,0.00021682643606813526,0.0422128438871657,1.2189676580740632,60.32258043815073,843.7631042122944,225.40529393071114,108.12750147862704,98.38544559695647,111.80741025286423,139.44878018125502,100.56134178441684,53.73134968126254,38.35632971814457,38.81258870362617,373.7411273050322,547.4554028501609,1161.6808054506073,1570.2605074363453,1039.2658944272312,734.9749224861846,419.5269825272572,179.3590387249721,7846.247804514497
186,spUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4395303322862366,51.43989551740268,16.662048248800232,37.41974152657075,70.26378952665561,325.9814220217969,700.1053095802848,1504.7176180715526,2208.6667535291544,1710.1619523075133,6625.858060662018
2012,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8016733755613336e-08,2834.561632392592,3093.727327191264,5928.288959621873
191,spUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2910.805818727834,2164.429525847791,26.126532534716148,29.000795384854925,28.198307669192516,29.591187686639348,27.851700106357136,28.634375009855077,28.653037307384903,5273.291280274625
1001,USDS-CLE,6.653958418347043,163.56719880239172,214.3568884368793,278.3124259335723,309.46883586085136,181.8525175342592,353.82134315493704,357.74642415069883,356.0086615278406,322.65192358719383,333.03174127949194,369.00464447024433,394.5735318687782,460.54510384416017,237.06429642658549,110.7891302251548,83.08763931095574,40.05611068360438,44.251813993392815,42.280513458804656,43.59855580557127,39.85839680263642,17.315157942096015,12.491680379980602,4772.388493898428
13425,USDS-SKY,0.0,0.0327135538798562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.4027145914824,1029.0974125257137,858.0069494142158,774.9740188257433,858.0099988032631,641.1623492109941,9.669231707178575,9.357321006947007,5.369147340986535,3.8734658223110414,4559.955322802716
224,USDS-SPK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.99729625506376,1698.1738921153155,500.428173214979,438.9068827991291,3034.506244384487
1017,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,1.9476462936628685,33.56031002531263,71.47532133934625,79.34835319772432,107.90638264743139,24.590275158166467,23.889967639652976,40.8888092228516,183.07986854212442,497.7632852647236,534.9088115180322,350.08646683524233,369.47741237132755,214.50178163001877,8.641758550280066,8.312587468210916,4.317580243471964,3.1031522963321474,2557.7997702439125
186,spUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.634438972936987,315.9292206395478,120.67323043612676,191.96672044661972,197.63486241321883,517.1053600318808,347.9048772550315,267.0802130983373,108.13145073131768,103.98749441379368,2182.047868438811
0,USDS-CLE,0.0,0.0,0.0,0.0,118.43555734407263,13.692982902488524,0.0005080705250888,0.0004916811533117,0.0005080705250888,0.0004916811533117,0.0005080705250888,0.0005080705250888,0.0004916811533117,0.0005080705250888,0.0004916811533117,0.0005080705250888,0.0004236023101533,0.000382608538203,324.5719582459788,1121.4381124454742,340.38485218245245,171.04553525016152,36.69758626643949,0.7695346593656069,2127.0419406550454
216,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.60757545032504,377.4494563617,471.89007688000703,372.3924700452992,279.5555886252492,222.07534566360616,1939.9705130261866
1016,USDS-SKY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034430531426077,6.020561513788106e-05,76.64164323675116,143.36146408206565,0.0,0.0,0.0,179.02163663419003,1201.0547443054504,167.53838068751205,8.978125634163069,0.1477356033786593,0.0,0.0,0.0,0.0,1776.7472334422687
1002,USDS-SKY,0.0,0.013796313200324,14.23506439370786,457.150222626472,5.263312136682424,312.24113229912103,309.61740811665953,7.282963996810328,3.562615943160674,2.3191931387379934,9.861717683093907,35.42237260029617,1.475653706053165,1.5286037156247418,1.4789769091618157,1.5282761394672093,1.274195748941338,1.150886482914757,1.274860056953132,1.233092660265811,1.274195748941338,1.233092660265811,0.70753757118527,0.5104390745744638,1171.639609722291
190,spUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.956200168216,119.0483729512008,62.35919818066032,152.37783182950014,135.17377143079602,85.21628261117516,39.03541670587656,35.69601554401816,35.88652041685065,825.7496098382937
128,spPYUSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.152039171490666,37.63970015068171,28.82185642072108,66.14825288914626,156.43827860146808,147.093285864086,139.3282846430351,60.12241155677695,15.457342074588102,658.2014513719939
