month,blockchain,token,ref_code,dr_usd,source
2025-03-01,ethereum,USDS-CLE,1001,353.82134315493704,farms
2025-03-01,ethereum,USDS-SKY,-999999,25897.554620375216,farms
2025-03-01,ethereum,USDS-SKY,0,4539.83496542037,farms
2025-03-01,ethereum,USDS-SKY,1,120139.26551698535,farms
2025-03-01,ethereum,USDS-SKY,128,66570.787179849,farms
2025-03-01,ethereum,USDS-SKY,1001,1393.1594143820623,farms
2025-03-01,ethereum,USDS-SKY,1002,309.61740811665953,farms
2025-03-01,ethereum,USDS-SKY,1007,3835.8301775281047,farms
2025-03-01,ethereum,sUSDC,127,0.0004332623760826,susds_susdc
2025-03-01,ethereum,sUSDC,128,5384.591074160916,susds_susdc
2025-03-01,ethereum,sUSDC,1017,0.0008573564776837,susds_susdc
2025-03-01,ethereum,sUSDS,0,5426.408538662029,susds_susdc
2025-03-01,ethereum,sUSDS,1,36310.22757197527,susds_susdc
2025-03-01,ethereum,sUSDS,99,1355669.0893590408,susds_susdc
2025-03-01,ethereum,sUSDS,128,196417.75837413516,susds_susdc
2025-03-01,ethereum,sUSDS,303,0.0021103919572587,susds_susdc
2025-03-01,ethereum,sUSDS,1001,6110.376840399643,susds_susdc
2025-03-01,ethereum,sUSDS,1002,2211.899749664855,susds_susdc
2025-03-01,ethereum,sUSDS,1003,45665.240847742105,susds_susdc
2025-03-01,ethereum,sUSDS,1004,1754.3513075988906,susds_susdc
2025-03-01,ethereum,sUSDS,1015,39.54908514910597,susds_susdc
2025-03-01,ethereum,sUSDS,13425,0.1879513339398397,susds_susdc
2025-04-01,arbitrum,sUSDC,127,1.49021923790058,susds_susdc
2025-04-01,arbitrum,sUSDC,128,3393.1074815328666,susds_susdc
2025-04-01,arbitrum,sUSDC,1004,3.160489878453467,susds_susdc
2025-04-01,arbitrum,sUSDC,1017,0.0215408837834676,susds_susdc
2025-04-01,arbitrum,sUSDS,1,861.2765393717424,psm3
2025-04-01,arbitrum,sUSDS,2,1.0323935914690622e-19,psm3
2025-04-01,arbitrum,sUSDS,99,41395.63150163776,psm3
2025-04-01,arbitrum,sUSDS,128,3685.606488393508,psm3
2025-04-01,arbitrum,sUSDS,10000,202.6122484463587,psm3
2025-04-01,arbitrum,sUSDS,10001,3397.779731533002,psm3
2025-04-01,base,sUSDC,127,20.56793132129256,susds_susdc
2025-04-01,base,sUSDC,128,3274.5827969603456,susds_susdc
2025-04-01,base,sUSDC,1004,10.77182821315583,susds_susdc
2025-04-01,base,sUSDC,1017,28.558361303975463,susds_susdc
2025-04-01,base,sUSDS,1,1083.4234887484438,psm3
2025-04-01,base,sUSDS,99,83650.8119888024,psm3
2025-04-01,base,sUSDS,128,8802.12923592481,psm3
2025-04-01,base,sUSDS,171,0.00015647984739780037,psm3
2025-04-01,base,sUSDS,1015,7.563950957248515,psm3
2025-04-01,base,sUSDS,1017,0.010465716280157801,psm3
2025-04-01,base,sUSDS,3333,0.6063695725124593,psm3
2025-04-01,base,sUSDS,10000,22.793045484352444,psm3
2025-04-01,base,sUSDS,10001,3334.4809177987745,psm3
2025-04-01,ethereum,USDS,9001,178859.66360159375,usds_aave
2025-04-01,ethereum,USDS-CLE,-999999,3861.685888545296,farms
2025-04-01,ethereum,USDS-CLE,0,0.0004916811533117,farms
2025-04-01,ethereum,USDS-CLE,1,4302.1424837960685,farms
2025-04-01,ethereum,USDS-CLE,128,3236.737656454111,farms
2025-04-01,ethereum,USDS-CLE,1001,357.74642415069883,farms
2025-04-01,ethereum,USDS-SKY,-999999,24371.989009874054,farms
2025-04-01,ethereum,USDS-SKY,0,5560.125177195898,farms
2025-04-01,ethereum,USDS-SKY,1,124790.53944289176,farms
2025-04-01,ethereum,USDS-SKY,128,109613.55538433872,farms
2025-04-01,ethereum,USDS-SKY,1001,2021.8576876013112,farms
2025-04-01,ethereum,USDS-SKY,1002,7.282963996810328,farms
2025-04-01,ethereum,USDS-SKY,1007,7167.687283709623,farms
2025-04-01,ethereum,sUSDC,127,0.8400343778507113,susds_susdc
2025-04-01,ethereum,sUSDC,128,30437.8565587474,susds_susdc
2025-04-01,ethereum,sUSDC,1017,4.9804078375537015,susds_susdc
2025-04-01,ethereum,sUSDS,0,4854.184266013121,susds_susdc
2025-04-01,ethereum,sUSDS,1,31477.05031086154,susds_susdc
2025-04-01,ethereum,sUSDS,99,1114723.7482479876,susds_susdc
2025-04-01,ethereum,sUSDS,128,99368.97418350706,susds_susdc
2025-04-01,ethereum,sUSDS,303,0.002050754083659,susds_susdc
2025-04-01,ethereum,sUSDS,1001,3480.4279211150774,susds_susdc
2025-04-01,ethereum,sUSDS,1002,1660.8358635768136,susds_susdc
2025-04-01,ethereum,sUSDS,1003,46348.97837561866,susds_susdc
2025-04-01,ethereum,sUSDS,1004,2845.7489451371584,susds_susdc
2025-04-01,ethereum,sUSDS,1015,1.4912489860248831e-05,susds_susdc
2025-04-01,ethereum,sUSDS,13425,0.1826399898277502,susds_susdc
2025-05-01,arbitrum,sUSDC,127,191.7106194694881,susds_susdc
2025-05-01,arbitrum,sUSDC,128,5094.781628519368,susds_susdc
2025-05-01,arbitrum,sUSDC,182,0.0285368861046396,susds_susdc
2025-05-01,arbitrum,sUSDC,1004,8.255221971280571,susds_susdc
2025-05-01,arbitrum,sUSDC,1017,0.0049616678949913,susds_susdc
2025-05-01,arbitrum,sUSDS,1,644.4863268171068,psm3
2025-05-01,arbitrum,sUSDS,2,0.0008315622085925,psm3
2025-05-01,arbitrum,sUSDS,99,41805.0047686701,psm3
2025-05-01,arbitrum,sUSDS,128,3539.290305648989,psm3
2025-05-01,arbitrum,sUSDS,171,0.0001475168057356,psm3
2025-05-01,arbitrum,sUSDS,3333,1.0258583307678468e-06,psm3
2025-05-01,arbitrum,sUSDS,10000,99.43736620445402,psm3
2025-05-01,arbitrum,sUSDS,10001,5294.780968514139,psm3
2025-05-01,base,sUSDC,127,91.18630049702806,susds_susdc
2025-05-01,base,sUSDC,128,6161.843941140462,susds_susdc
2025-05-01,base,sUSDC,182,16.89240648858598,susds_susdc
2025-05-01,base,sUSDC,1004,37.96827176234979,susds_susdc
2025-05-01,base,sUSDC,1017,59.91703992759138,susds_susdc
2025-05-01,base,sUSDS,1,835.8668822284429,psm3
2025-05-01,base,sUSDS,2,0.00014793180264040037,psm3
2025-05-01,base,sUSDS,99,92488.09035155132,psm3
